cancer,model,n_events,cindex
BLCA,CoxLasso,11,0.46
BLCA,CoxRidge,11,0.5189
BLCA,Coxnnet,11,0.564
BLCA,CoxMLP,11,0.5402
BLCA,VAECox,11,0.6132
BLCA,CoxPH-PCA,11,0.2931
BRCA,CoxLasso,3,0.5
BRCA,CoxRidge,3,0.5
BRCA,Coxnnet,3,0.5
BRCA,CoxMLP,3,1.0
BRCA,VAECox,3,0.0
BRCA,CoxPH-PCA,3,0.0
HNSC,CoxLasso,9,0.6039
HNSC,CoxRidge,9,0.7371
HNSC,Coxnnet,9,0.6487
HNSC,CoxMLP,9,0.4593
HNSC,VAECox,9,0.8312
HNSC,CoxPH-PCA,9,0.299
KIRC,CoxLasso,8,0.501
KIRC,CoxRidge,8,0.4823
KIRC,Coxnnet,8,0.5552
KIRC,CoxMLP,8,0.4396
KIRC,VAECox,8,0.7292
KIRC,CoxPH-PCA,8,0.2979
LGG,CoxLasso,5,0.7762
LGG,CoxRidge,5,0.7714
LGG,Coxnnet,5,0.7929
LGG,CoxMLP,5,0.7929
LGG,VAECox,5,0.7643
LGG,CoxPH-PCA,5,0.2357
LIHC,CoxLasso,8,0.2635
LIHC,CoxRidge,8,0.3125
LIHC,Coxnnet,8,0.4802
LIHC,CoxMLP,8,0.276
LIHC,VAECox,8,0.6802
LIHC,CoxPH-PCA,8,0.3823
LUAD,CoxLasso,3,0.25
LUAD,CoxRidge,3,0.5139
LUAD,Coxnnet,3,0.3889
LUAD,CoxMLP,3,0.5139
LUAD,VAECox,3,0.4583
LUAD,CoxPH-PCA,3,0.6806
LUSC,CoxLasso,7,0.56
LUSC,CoxRidge,7,0.2617
LUSC,Coxnnet,7,0.5667
LUSC,CoxMLP,7,0.58
LUSC,VAECox,7,0.38
LUSC,CoxPH-PCA,7,0.72
OV,CoxLasso,23,0.531
OV,CoxRidge,23,0.4964
OV,Coxnnet,23,0.5418
OV,CoxMLP,23,0.5516
OV,VAECox,23,0.5259
OV,CoxPH-PCA,23,0.3215
STAD,CoxLasso,9,0.6923
STAD,CoxRidge,9,0.7624
STAD,Coxnnet,9,0.6579
STAD,CoxMLP,9,0.7201
STAD,VAECox,9,0.7357
STAD,CoxPH-PCA,9,0.2735
