cancer,model,rank,gene,importance
BLCA,CoxRidge,1,GPR98,0.025302
BLCA,CoxRidge,2,TMEM215,0.023067
BLCA,CoxRidge,3,SSBP2,0.02294
BLCA,CoxRidge,4,LOC100302640,0.022743
BLCA,CoxRidge,5,CPA5,-0.022557
BLCA,CoxRidge,6,PAMR1,0.022444
BLCA,CoxRidge,7,EIF2AK1,0.022187
BLCA,CoxRidge,8,ZNF282,0.021972
BLCA,CoxRidge,9,F11R,-0.021919
BLCA,CoxRidge,10,MRPS9,-0.021883
BLCA,CoxRidge,11,MTUS2,-0.02156
BLCA,CoxRidge,12,COL21A1,-0.021443
BLCA,CoxRidge,13,SNAP25,0.021419
BLCA,CoxRidge,14,C20orf191,-0.021346
BLCA,CoxRidge,15,AVPR1A,0.020925
BLCA,CoxRidge,16,FABP4,-0.020713
BLCA,CoxRidge,17,ZACN,-0.020645
BLCA,CoxRidge,18,SERPINA10,-0.020617
BLCA,CoxRidge,19,B3GALNT2,0.020555
BLCA,CoxRidge,20,ALPK2,0.020304
BLCA,VAECox,1,GCGR,-0.012102
BLCA,VAECox,2,FER1L5,-0.011012
BLCA,VAECox,3,OTX2,0.010725
BLCA,VAECox,4,SLC10A2,0.009413
BLCA,VAECox,5,IFNW1,0.009374
BLCA,VAECox,6,C20orf114,-0.008251
BLCA,VAECox,7,CYP1A2,-0.006551
BLCA,VAECox,8,DPRX,-0.006515
BLCA,VAECox,9,CRYBB3,0.006117
BLCA,VAECox,10,GAGE2A,-0.005774
BLCA,VAECox,11,SPATA21,-0.005737
BLCA,VAECox,12,MAEL,-0.005656
BLCA,VAECox,13,DAO,0.004766
BLCA,VAECox,14,AKR1C4,-0.004649
BLCA,VAECox,15,MYBPC1,0.004579
BLCA,VAECox,16,XAGE3,-0.003912
BLCA,VAECox,17,SPTA1,-0.003693
BLCA,VAECox,18,PLUNC,-0.00355
BLCA,VAECox,19,HHATL,-0.003542
BLCA,VAECox,20,C17orf64,0.003471
OV,CoxRidge,1,CXCL10,-0.024036
OV,CoxRidge,2,SFN,-0.023209
OV,CoxRidge,3,BAGE,0.023177
OV,CoxRidge,4,TREM2,-0.021917
OV,CoxRidge,5,DISC2,-0.021798
OV,CoxRidge,6,C3orf65,0.021009
OV,CoxRidge,7,MRPS36,-0.020959
OV,CoxRidge,8,TNKS1BP1,-0.020907
OV,CoxRidge,9,NBR1,0.020785
OV,CoxRidge,10,RBMXL3,-0.019993
OV,CoxRidge,11,WIPI1,0.019791
OV,CoxRidge,12,PCDHA10,-0.019606
OV,CoxRidge,13,CD247,-0.019552
OV,CoxRidge,14,KIF26A,0.019423
OV,CoxRidge,15,CHAD,-0.019393
OV,CoxRidge,16,THBS4,0.01925
OV,CoxRidge,17,MUC21,0.019231
OV,CoxRidge,18,ST3GAL1,0.019229
OV,CoxRidge,19,POU4F2,0.019207
OV,CoxRidge,20,SCAMP1,-0.019088
OV,VAECox,1,PIK3C2G,0.010926
OV,VAECox,2,PI16,0.009324
OV,VAECox,3,FGF3,-0.006755
OV,VAECox,4,CLEC4G,-0.005445
OV,VAECox,5,ANXA8L1,0.004272
OV,VAECox,6,SPAG11A,-0.003807
OV,VAECox,7,NKX2-2,0.003281
OV,VAECox,8,MED24,-0.003165
OV,VAECox,9,OR5P2,0.003073
OV,VAECox,10,GRB7,-0.003003
OV,VAECox,11,PAEP,-0.002863
OV,VAECox,12,TNNT3,0.002781
OV,VAECox,13,DPPA5,-0.002771
OV,VAECox,14,UPK2,0.002603
OV,VAECox,15,CCR8,-0.002415
OV,VAECox,16,ONECUT3,-0.002396
OV,VAECox,17,CLEC1B,-0.002301
OV,VAECox,18,FEZF1,0.002159
OV,VAECox,19,PCDHB19P,0.002128
OV,VAECox,20,CALML5,0.002123
STAD,CoxRidge,1,TK2,0.022174
STAD,CoxRidge,2,NDUFV3,-0.021762
STAD,CoxRidge,3,PSMG2,0.021523
STAD,CoxRidge,4,PTGES,-0.02143
STAD,CoxRidge,5,CD36,0.021157
STAD,CoxRidge,6,FAM105A,-0.021108
STAD,CoxRidge,7,TET2,0.021053
STAD,CoxRidge,8,GPR124,0.020478
STAD,CoxRidge,9,AUP1,-0.020344
STAD,CoxRidge,10,CDC26,0.020323
STAD,CoxRidge,11,CDC45,0.020311
STAD,CoxRidge,12,ACTA1,0.020228
STAD,CoxRidge,13,NAE1,0.020194
STAD,CoxRidge,14,MEA1,0.020161
STAD,CoxRidge,15,CHIC1,0.020151
STAD,CoxRidge,16,HSPA2,-0.020092
STAD,CoxRidge,17,PLA2G4A,0.019927
STAD,CoxRidge,18,HLA-B,0.019772
STAD,CoxRidge,19,PRAMEF8,0.01975
STAD,CoxRidge,20,PJA1,0.019718
STAD,VAECox,1,TP53TG5,0.015387
STAD,VAECox,2,SSX5,-0.009211
STAD,VAECox,3,HHATL,0.00859
STAD,VAECox,4,TFDP3,-0.006107
STAD,VAECox,5,SSX4,-0.005978
STAD,VAECox,6,POU3F3,-0.005648
STAD,VAECox,7,MUC7,-0.004687
STAD,VAECox,8,AQP4,0.00447
STAD,VAECox,9,TDRD12,0.003678
STAD,VAECox,10,SSX6,-0.003479
STAD,VAECox,11,RTL1,-0.003366
STAD,VAECox,12,BRS3,-0.003295
STAD,VAECox,13,FER1L5,0.003246
STAD,VAECox,14,LEP,-0.003075
STAD,VAECox,15,CNPY1,-0.003064
STAD,VAECox,16,TEX19,-0.003038
STAD,VAECox,17,MAGEA10,0.002996
STAD,VAECox,18,NEU2,-0.002904
STAD,VAECox,19,UNCX,0.002722
STAD,VAECox,20,SFTA3,0.002684
